Route_UUID,Interface,Selected Networks,Gateway,Metric
005056A1-C63D-0ed3-0000-008590048359,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958130', 'name': 'obj-192.168.66.0'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590048163,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956414', 'name': 'obj-10.6.252.10'}]",obj-10.6.3.7,1
005056A1-C63D-0ed3-0000-008590048040,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956384', 'name': 'obj-10.6.3.51'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048406,ipsec,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958277', 'name': 'obj-192.168.114.0'}]",obj-10.5.108.15,1
005056A1-C63D-0ed3-0000-008590048230,inside,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957929', 'name': 'obj-10.100.0.0'}]",obj-10.5.100.1,1
005056A1-C63D-0ed3-0000-008590048265,outside,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956572', 'name': 'obj-69.191.192.26'}]",obj-200.1.118.1,1
005056A1-C63D-0ed3-0000-008590048161,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956412', 'name': 'obj-10.6.250.95'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048451,outside,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958289', 'name': 'obj-208.134.161.0'}]",obj-200.1.118.71,1
005056A1-C63D-0ed3-0000-008590048115,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957759', 'name': 'obj-10.6.172.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048234,outside,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956563', 'name': 'obj-10.169.172.110'}]",obj-200.1.118.2,1
005056A1-C63D-0ed3-0000-008590048144,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957784', 'name': 'obj-10.6.214.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048049,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589957466', 'name': 'obj-10.6.6.0'}]",obj-10.6.3.9,1
005056A1-C63D-0ed3-0000-008590048379,extranet,"[{'type': 'Network', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589958265', 'name': 'obj-192.168.74.16'}]",obj-10.6.3.13,1
005056A1-C63D-0ed3-0000-008590048177,extranet,"[{'type': 'Host', 'overridable': False, 'id': '005056A1-C63D-0ed3-0000-008589956544', 'name': 'obj-10.6.252.84'}]",obj-10.6.3.16,1
